tf_name	task_index	fold_num	run_num (profile/count)	epoch_num (profile/count)	test_prof_nll	test_count_mse	test_count_pears	test_count_spear	val_loss (profile/count)
E2F6	0	10	1/5	8/3	356.990	0.649	0.671	0.691	189.017/0.635
E2F6	1	1	3/4	8/15	237.955	0.589	0.630	0.648	103.460/0.537
FOXA2	0	7	2/4	11/15	266.105	0.985	0.571	0.594	140.712/0.544
FOXA2	1	7	2/4	12/1	317.408	0.600	0.581	0.566	180.466/0.386
FOXA2	2	5	2/6	4/2	184.285	2.831	0.314	0.553	105.638/0.404
FOXA2	3	9	1/5	16/20	205.340	0.365	0.568	0.573	118.984/0.377
SPI1	0	8	1/5	17/14	213.216	0.468	0.683	0.627	118.233/0.447
SPI1	1	7	3/6	17/20	134.746	0.347	0.651	0.614	74.645/0.375
SPI1	2	9	2/5	11/5	182.369	0.654	0.618	0.576	99.390/0.579
SPI1	3	6	3/6	10/9	174.530	0.276	0.738	0.709	100.338/0.332
CEBPB	0	7	1/4	15/18	198.230	0.832	0.561	0.584	100.103/0.422
CEBPB	1	7	1/6	3/20	199.092	0.590	0.638	0.629	105.428/0.398
CEBPB	2	5	1/6	1/13	153.195	0.342	0.604	0.554	82.897/0.398
CEBPB	3	7	1/4	4/6	133.939	0.422	0.588	0.544	74.802/0.354
CEBPB	4	7	2/4	8/6	162.869	0.452	0.637	0.599	93.085/0.446
CEBPB	5	9	1/5	9/5	169.553	0.605	0.519	0.458	96.427/0.540
CEBPB	6	9	2/4	17/20	144.904	0.797	0.320	0.348	84.575/0.688
MAX	0	1	3/5	4/19	385.211	0.505	0.736	0.742	186.140/0.589
MAX	1	1	1/6	8/18	214.411	0.263	0.671	0.688	119.888/0.313
MAX	2	7	2/6	15/7	194.325	0.390	0.629	0.651	102.013/0.309
MAX	3	1	1/5	20/12	252.776	0.612	0.685	0.705	121.745/0.612
MAX	4	5	1/5	16/17	102.828	0.623	0.387	0.394	50.069/0.540
MAX	5	7	2/6	10/12	299.853	0.364	0.649	0.655	174.475/0.355
MAX	6	7	3/4	18/8	257.176	0.317	0.699	0.691	147.487/0.338
GABPA	0	1	1/5	14/16	259.293	0.526	0.736	0.740	127.974/0.420
GABPA	1	8	2/6	7/18	229.986	0.307	0.627	0.612	120.879/0.332
GABPA	2	7	2/6	14/20	579.446	1.293	0.653	0.687	259.438/0.823
GABPA	3	5	3/4	10/16	419.089	0.882	0.783	0.747	186.589/0.829
GABPA	4	7	3/4	13/3	402.765	0.992	0.630	0.619	215.935/0.744
GABPA	5	5	1/4	9/19	288.198	0.608	0.699	0.696	137.879/0.413
GABPA	6	1	1/5	19/8	319.147	0.542	0.816	0.775	164.192/0.424
GABPA	7	7	2/4	19/11	439.650	0.991	0.810	0.864	214.944/0.707
GABPA	8	7	2/4	20/15	442.404	0.737	0.717	0.754	227.351/0.534
MAFK	0	4	3/6	6/4	276.004	0.355	0.595	0.540	157.723/0.285
MAFK	1	7	1/6	15/13	173.951	0.405	0.573	0.521	98.419/0.334
MAFK	2	5	2/4	7/2	351.307	0.693	0.607	0.660	192.148/0.381
MAFK	3	7	1/5	3/11	135.575	0.216	0.664	0.617	78.871/0.245
MAFK	4	9	2/4	6/16	160.658	0.262	0.770	0.708	95.192/0.383
MAFK	5	9	2/5	10/12	171.712	0.328	0.701	0.634	98.596/0.341
MAFK	6	7	1/5	12/7	220.022	0.426	0.602	0.549	121.504/0.377
MAFK	7	5	3/6	11/4	298.181	0.153	0.785	0.736	165.204/0.171
MAFK	8	7	2/5	13/7	281.231	0.288	0.677	0.594	168.421/0.282
JUND	0	7	3/4	8/2	215.963	0.654	0.666	0.677	104.653/0.360
JUND	1	1	1/6	12/10	339.911	0.588	0.388	0.408	176.688/0.608
JUND	2	5	3/6	4/14	251.825	0.496	0.419	0.429	115.409/0.531
JUND	3	7	2/5	2/10	255.211	0.414	0.784	0.800	130.459/0.523
JUND	4	5	2/4	14/15	263.175	0.310	0.714	0.719	147.584/0.288
JUND	5	5	3/4	1/15	172.878	0.364	0.570	0.557	88.988/0.389
JUND	6	3	1/6	17/6	223.758	1.199	0.656	0.698	102.654/0.541
JUND	7	7	1/5	8/13	173.252	0.470	0.549	0.566	92.912/0.322
JUND	8	1	1/4	15/18	199.530	0.373	0.543	0.525	111.064/0.396
JUND	9	7	1/4	18/20	132.759	0.431	0.570	0.527	72.292/0.341
JUND	10	7	2/5	6/13	236.050	0.578	0.580	0.549	124.293/0.506
