tf_name	task_index	fold_num	run_num (profile/count)	epoch_num (profile/count)	test_prof_nll	test_count_mse	test_count_pears	test_count_spear	val_loss (profile/count)
JUND	11	7	1/5	14/12	186.800	0.398	0.616	0.613	97.745/0.333
JUND	12	5	3/4	2/19	235.329	0.377	0.528	0.511	141.636/0.376
JUND	13	9	3/5	1/7	226.421	0.443	0.546	0.544	127.147/0.471
NR3C1-reddytime	0	5	1/6	20/16	198.363	1.726	0.513	0.588	82.532/0.770
NR3C1-reddytime	1	5	2/5	13/8	215.110	1.196	0.438	0.487	100.392/0.769
NR3C1-reddytime	2	5	3/6	3/5	198.387	0.713	0.566	0.558	91.723/0.610
NR3C1-reddytime	3	5	2/4	5/14	201.962	0.672	0.551	0.555	105.194/0.591
NR3C1-reddytime	4	5	3/6	16/16	223.863	1.009	0.470	0.436	94.384/0.721
NR3C1-reddytime	5	5	1/5	14/8	255.515	0.292	0.565	0.560	119.624/0.349
NR3C1-reddytime	6	2	3/4	2/15	204.946	0.442	0.542	0.537	101.256/0.353
NR3C1-reddytime	7	5	2/5	3/19	246.284	0.423	0.556	0.579	125.416/0.516
NR3C1-reddytime	8	5	2/4	6/2	236.461	0.400	0.501	0.563	119.496/0.395
NR3C1-reddytime	9	5	3/6	20/17	242.353	0.557	0.509	0.507	119.683/0.644
NR3C1-reddytime	10	5	2/4	13/10	223.159	0.433	0.597	0.614	104.123/0.600
NR3C1-reddytime	11	2	2/5	10/20	217.230	0.513	0.565	0.574	110.301/0.425
NR3C1-reddytime	12	5	2/6	20/13	251.028	0.411	0.625	0.641	125.906/0.418
NR3C1-reddytime	13	5	2/4	2/13	240.029	0.442	0.593	0.611	117.865/0.488
NR3C1-reddytime	14	5	2/5	6/5	247.863	0.368	0.632	0.626	122.292/0.440
NR3C1-reddytime	15	5	2/6	15/17	226.991	0.519	0.441	0.480	113.540/0.621
REST	0	8	1/4	12/11	285.441	1.014	0.719	0.645	134.019/0.744
REST	1	7	3/5	17/11	253.285	0.862	0.776	0.642	133.702/0.560
REST	2	6	1/5	20/18	376.820	2.945	0.253	0.312	161.223/2.140
REST	3	2	3/4	14/17	372.487	1.736	0.687	0.663	154.137/1.048
REST	4	10	2/4	6/2	371.489	0.971	0.619	0.544	174.884/0.653
REST	5	8	2/4	17/13	254.787	0.791	0.676	0.617	114.413/0.628
REST	6	7	3/6	2/17	193.320	0.909	0.708	0.612	97.081/0.649
REST	7	7	3/6	6/20	332.413	1.057	0.651	0.588	167.302/0.683
REST	8	7	2/6	7/12	263.022	1.151	0.606	0.605	134.677/0.481
REST	9	7	2/6	15/14	250.537	0.693	0.754	0.641	129.797/0.589
REST	10	7	3/6	2/16	258.541	0.642	0.590	0.557	129.698/0.435
REST	11	8	1/4	5/13	214.161	1.082	0.473	0.376	82.971/0.715
REST	12	5	3/5	9/5	332.560	0.467	0.639	0.525	155.622/0.564
REST	13	7	2/5	3/20	207.712	0.666	0.664	0.565	106.889/0.504
REST	14	7	1/5	9/16	320.075	0.685	0.728	0.655	175.644/0.498
REST	15	7	1/5	13/19	471.771	0.354	0.723	0.724	281.360/0.321
REST	16	7	3/6	16/7	312.531	0.736	0.679	0.675	173.441/0.544
REST	17	9	1/4	19/16	309.010	0.597	0.655	0.604	174.084/0.573
REST	18	5	3/5	2/20	498.178	0.710	0.652	0.657	245.925/0.577
REST	19	7	3/4	10/17	260.619	0.707	0.695	0.613	141.913/0.575
